# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:08:16 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load
2024-02-03 02:45:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 03:00:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 03:15:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 03:30:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 03:45:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 04:00:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 04:15:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 04:30:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 04:45:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 05:00:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 05:15:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 05:30:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 05:45:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 06:00:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-03 06:15:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-03 06:30:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-03 06:45:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-03 07:00:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 07:15:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 07:30:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 07:45:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 08:00:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 08:15:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 08:30:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 08:45:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 09:00:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 09:15:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 09:30:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 09:45:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 10:00:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 10:15:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 10:30:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 10:45:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-03 11:00:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 11:15:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 11:30:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 11:45:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 12:00:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 12:15:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 12:30:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 12:45:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 13:00:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 13:15:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 13:30:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 13:45:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 14:00:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 14:15:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 14:30:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 14:45:00 PST,+0.365285,+0,+0,+0.25,+70,HEAT,+0.105923
2024-02-03 15:00:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 15:15:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 15:30:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 15:45:00 PST,+0.417728,+0,+0,+0.3,+70,HEAT,+0.105923
2024-02-03 16:00:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-03 16:15:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-03 16:30:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-03 16:45:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-03 17:00:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
